y_real,y_pred,MAE
0.038726762898494235,0.09751752,2.56
0.08859416210625556,0.092955425,2.56
0.10477455955505129,0.10100381,2.56
0.12122015593580478,0.10922292,2.56
0.12997352440388513,0.11865726,2.56
0.1379310573493087,0.122861765,2.56
0.1312997577904572,0.1398842,2.56
0.1063659918735811,0.14294891,2.56
0.0896551965608701,0.13921529,2.56
0.08143235858269586,0.12819543,2.56
0.08514585981045453,0.116107896,2.56
0.10450925452230074,0.10823856,2.56
0.12891248994927082,0.1112219,2.56
0.10530506351975948,0.11652343,2.56
0.10769235788614426,0.11774912,2.56
0.10742702632819566,0.11143363,2.56
0.09708222554158548,0.120409995,2.56
0.10901859127271632,0.10987909,2.56
0.09575599215501343,0.10264233,2.56
0.10185676122395858,0.102558516,2.56
0.10212198668111437,0.10043171,2.56
0.11830235760471193,0.110163406,2.56
0.12360742377699138,0.12049474,2.56
0.13023872333584277,0.14115983,2.56
0.1387267867711727,0.14326634,2.56
0.1320954872123213,0.14852642,2.56
0.14668431971659626,0.14073761,2.56
0.1586206854477271,0.14688203,2.56
0.17586209082593932,0.14581734,2.56
0.1769230191797608,0.14507301,2.56
0.16896548623433724,0.15650973,2.56
0.2023872890613451,0.15960261,2.56
0.18992041936550608,0.18637699,2.56
0.19045092333021427,0.20361689,2.56
0.20477455690253157,0.18371427,2.56
0.20371352244791716,0.18218389,2.56
0.22201588270514905,0.18395898,2.56
0.24031834906317376,0.1882151,2.56
0.2607426456036432,0.21376356,2.56
0.2488063859733055,0.22484332,2.56
0.2461538130993682,0.23182443,2.56
0.214323548691683,0.22338414,2.56
0.226790418387522,0.2239103,2.56
0.23289121398166546,0.21263051,2.56
0.236604715209424,0.22354293,2.56
0.24960211539516924,0.2231968,2.56
0.29230771107937087,0.22180873,2.56
0.30636601309373984,0.25519192,2.56
0.2960212123071297,0.2917433,2.56
0.3013262784794091,0.2903471,2.56
0.3246684794517643,0.2813517,2.56
0.303978745252553,0.304476,2.56
0.3222812116105777,0.32900718,2.56
0.32068964666605704,0.31897473,2.56
0.28435015160874927,0.32027876,2.56
0.3013262784794091,0.30958515,2.56
0.289389912748278,0.28722683,2.56
0.30291771079793883,0.30525228,2.56
0.2586206827952075,0.2929177,2.56
0.2816975787348122,0.2691434,2.56
0.29708224676174383,0.250746,2.56
0.2785145814717619,0.27439016,2.56
0.3217506811206717,0.2539602,2.56
0.33076924852070944,0.2888864,2.56
0.3299734395232508,0.3159426,2.56
0.3588859055998432,0.3334162,2.56
0.33421747124091583,0.36869904,2.56
0.34137927476447544,0.38436845,2.56
0.3323607073644374,0.36345452,2.56
0.33580900966023847,0.33604893,2.56
0.32625991177029423,0.36074498,2.56
0.29973471353488823,0.34606662,2.56
0.2779840775070537,0.30695993,2.56
0.28328911715413485,0.29149678,2.56
0.2464191181321189,0.26818675,2.56
0.2607426456036432,0.25416896,2.56
0.2625995155809145,0.257136,2.56
0.2554376855321569,0.2461839,2.56
0.2687002846498599,0.2600954,2.56
0.2848806820986555,0.24897149,2.56
0.25782495337334327,0.28603363,2.56
0.27374004578938865,0.28129932,2.56
0.23421744736823738,0.27986446,2.56
0.24907161143046105,0.2880606,2.56
0.2602122477397281,0.29101378,2.56
0.2488063859733055,0.283118,2.56
0.2644562529321949,0.2980161,2.56
0.24031834906317376,0.26643583,2.56
0.21405834975972537,0.2677868,2.56
0.2249336810362419,0.24889335,2.56
0.22705574994547073,0.23975357,2.56
0.25225458216831337,0.22708261,2.56
0.2644562529321949,0.24673635,2.56
0.23713524569933023,0.23889482,2.56
0.20716185126891634,0.26723906,2.56
0.21193638695128944,0.22955307,2.56
0.21989391989671286,0.23160139,2.56
0.2350132828908943,0.24032348,2.56
0.24694964862202515,0.24704877,2.56
0.2761273136305753,0.26508105,2.56
0.2591512132851135,0.2934482,2.56
0.27453577521125266,0.27518383,2.56
0.27427054975409687,0.276688,2.56
0.3013262784794091,0.26250285,2.56
0.29045094720289244,0.290182,2.56
0.2753315842087113,0.31740662,2.56
0.2750662791759608,0.30912018,2.56
0.28912471381632054,0.30069074,2.56
0.2840848465759986,0.29029,2.56
0.3005304429567522,0.2750303,2.56
0.2835543426112904,0.29458702,2.56
0.26047744667168565,0.28704274,2.56
0.30291771079793883,0.2866911,2.56
0.2952254828852657,0.28113136,2.56
0.3047745807752099,0.29081413,2.56
0.2984084801483163,0.27174133,2.56
0.30636601309373984,0.2923571,2.56
0.30557031019707387,0.30312005,2.56
0.303978745252553,0.3246399,2.56
0.2872678438390492,0.31318513,2.56
0.29469497892055746,0.31753615,2.56
0.29893901063822226,0.29067424,2.56
0.30000004509283695,0.31132385,2.56
0.2949601778525152,0.31376925,2.56
0.3058355091290314,0.2965172,2.56
0.29867367908027376,0.2889662,2.56
0.29204237952142215,0.2847042,2.56
0.24801057697584664,0.29673225,2.56
0.249867314327127,0.28047472,2.56
0.25729444940863505,0.26272255,2.56
0.24482757971279628,0.26150376,2.56
0.23368704950432212,0.26342738,2.56
0.249867314327127,0.24841982,2.56
0.26100795063639387,0.26149422,2.56
0.25013261935987746,0.258388,2.56
0.23713524569933023,0.26410004,2.56
0.23156498059509328,0.24884924,2.56
0.2432360147682754,0.2556926,2.56
0.24960211539516924,0.2510284,2.56
0.23899198305061037,0.2743587,2.56
0.25039784481703325,0.26158556,2.56
0.26366044393473603,0.2653176,2.56
0.2729443163675247,0.27245384,2.56
0.29151198165750714,0.29084986,2.56
0.29761275072645205,0.2945876,2.56
0.2984084801483163,0.30622348,2.56
0.2949601778525152,0.30172786,2.56
