y_real,y_pred,MAE
0.29193125186480007,0.25870785,2.66
0.31731638102299353,0.26535982,2.66
0.3345422180832076,0.30062583,2.66
0.2955576341289541,0.30748615,2.66
0.31822308991631076,0.2841623,2.66
0.25838628663768914,0.26855507,2.66
0.24569363139676947,0.25948095,2.66
0.2212149391464242,0.25739786,2.66
0.19310986463192492,0.24811606,2.66
0.18132364629885345,0.20842299,2.66
0.2030824838547156,0.18902758,2.66
0.1922031557386077,0.17289823,2.66
0.19764286512757323,0.17905866,2.66
0.22756126676688404,0.15552755,2.66
0.20761566567401046,0.15902747,2.66
0.20126942871537334,0.18271315,2.66
0.19310986463192492,0.17251208,2.66
0.1958295380027617,0.19647476,2.66
0.17497740934021655,0.20716874,2.66
0.15775157228000225,0.21145642,2.66
0.15321857178435416,0.19510362,2.66
0.14777895305721156,0.19985907,2.66
0.18041702806735893,0.18763562,2.66
0.17588402757171084,0.1881549,2.66
0.20126942871537334,0.19030386,2.66
0.2493200136609235,0.16310805,2.66
0.25475990437353513,0.2089751,2.66
0.25385328614204106,0.23002186,2.66
0.2828649788880344,0.2371985,2.66
0.30190387108759076,0.25869733,2.66
0.304623816443897,0.29455402,2.66
0.3055304346753911,0.32511178,2.66
0.3263826539997592,0.311137,2.66
0.34542172752296185,0.33792987,2.66
0.34632816443081005,0.34193742,2.66
0.3472347826623041,0.3491658,2.66
0.34270178216665603,0.33486718,2.66
0.3599276192268701,0.3245399,2.66
0.3653672379540127,0.3524638,2.66
0.37443351093077837,0.3569436,2.66
0.38984602086618114,0.35427234,2.66
0.40163196721378336,0.37959504,2.66
0.4224840958763285,0.39584988,2.66
0.4188577136121745,0.4201793,2.66
0.42973704172828264,0.40929878,2.66
0.43245698708458846,0.433868,2.66
0.4088849130657377,0.45433456,2.66
0.41523115002437416,0.42144263,2.66
0.42883060482043467,0.4194431,2.66
0.40163196721378336,0.44928342,2.66
0.42883060482043467,0.43148625,2.66
0.4650953340802051,0.4289428,2.66
0.43698998758023677,0.46287668,2.66
0.45512244287194514,0.46335027,2.66
0.4469628787884967,0.45511997,2.66
0.4360835506723886,0.45068374,2.66
0.4696283345758534,0.42617995,2.66
0.4968269721825047,0.45647016,2.66
0.4968269721825047,0.5046184,2.66
0.46418862518688786,0.4993143,2.66
0.45058944237629683,0.49071532,2.66
0.4533091157471336,0.46999878,2.66
0.46056206159908775,0.44742864,2.66
0.46056206159908775,0.44787186,2.66
0.4524024975156393,0.4471795,2.66
0.4451495516636852,0.43433166,2.66
0.45512244287194514,0.43262,2.66
0.4777878986593018,0.4407599,2.66
0.47416151639514803,0.46448874,2.66
0.4941070268261989,0.46910828,2.66
0.5049863549423068,0.48092097,2.66
0.48504084451125595,0.5185229,2.66
0.5276518107296635,0.49279183,2.66
0.45058944237629683,0.5101976,2.66
0.4696283345758534,0.48839453,2.66
0.4759745715344903,0.44862655,2.66
0.4415231693995312,0.47541404,2.66
0.45512244287194514,0.46171397,2.66
0.45512244287194514,0.44141206,2.66
0.4578423882282512,0.4360549,2.66
0.5031732998029645,0.44280612,2.66
0.5965547963232276,0.47403938,2.66
0.606527687531488,0.5558193,2.66
0.6291931433188447,0.584797,2.66
0.6228468156983848,0.6080552,2.66
0.6056210692999935,0.6415221,2.66
0.6364460891707986,0.6125731,2.66
0.5512238847485142,0.65449166,2.66
0.5766092858921774,0.6119585,2.66
0.6128740151519478,0.57540137,2.66
0.603807742175182,0.6267086,2.66
0.5974615052165451,0.60012186,2.66
0.5983681234480396,0.5876759,2.66
0.6183136338790902,0.5916184,2.66
0.6155938698464305,0.5980537,2.66
0.6273799068558561,0.5965876,2.66
0.6137806333834419,0.5960208,2.66
0.6183136338790902,0.59935963,2.66
0.6074343057629821,0.6193283,2.66
0.6192202521105843,0.6189471,2.66
0.6246601428231964,0.60565215,2.66
0.6446056532542475,0.646743,2.66
0.5983681234480396,0.63977635,2.66
0.5956481780917335,0.59826374,2.66
0.6264731979625386,0.5932018,2.66
0.5757026676606829,0.5895953,2.66
0.5956481780917335,0.57438123,2.66
0.5847688499756254,0.5684158,2.66
0.6219401974668908,0.5724182,2.66
0.5956481780917335,0.6051592,2.66
0.6074343057629821,0.5953772,2.66
0.5856754682071195,0.6055019,2.66
0.6128740151519478,0.6030593,2.66
0.5838622317441313,0.6092887,2.66
0.5747960494291884,0.59218127,2.66
0.5530372118733262,0.5766303,2.66
0.5376247019379234,0.5589508,2.66
0.5512238847485142,0.5525218,2.66
0.5902085593645912,0.54626256,2.66
0.5983681234480396,0.5805725,2.66
0.6047144510684994,0.58317506,2.66
0.5394379384009123,0.5988693,2.66
0.5847688499756254,0.55357516,2.66
0.49501364505769296,0.5752979,2.66
0.49048046323839856,0.5329971,2.66
0.48594746274275047,0.50493485,2.66
0.4669083892195476,0.49260515,2.66
0.5131459190257552,0.48148048,2.66
0.5775159041236715,0.5075747,2.66
0.6137806333834419,0.5562471,2.66
0.6201269610039017,0.58227706,2.66
0.6500453626432128,0.606977,2.66
0.5902085593645912,0.6148835,2.66
0.5693563400402231,0.60200226,2.66
0.5657297764524225,0.55359775,2.66
0.5983681234480396,0.5834547,2.66
0.6019946870358397,0.568953,2.66
0.6074343057629821,0.60838044,2.66
0.6364460891707986,0.61848074,2.66
0.6056210692999935,0.62487143,2.66
0.5947417411838853,0.6154717,2.66
0.5539438301048207,0.5985041,2.66
0.5466908842528664,0.56976664,2.66
0.5738893405358709,0.54693794,2.66
0.5412512655257236,0.5519135,2.66
0.5675431035772345,0.5525859,2.66
0.5693563400402231,0.55811775,2.66
